ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,WJ週刊-WJ,WJ,WJ,-1,,,,,
,1,WJ週刊-WJC,WJC,WJC,-1,,,,,
,1,WJ週刊-WJMP,WJMP,WJMP,-1,,,,,
,1,大百科-MG02,MG02,MG02,-1,,,,,
,1,大百科-MG03,MG03,MG03,-1,,,,,
,1,大百科-MG04,MG04,MG04,-1,,,,,
,1,大百科-MG05,MG05,MG05,-1,,,,,
,1,大百科-MG06,MG06,MG06,-1,,,,,
,1,大百科-MG1,MG1,MG1,-1,,,,,
,1,大百科-VB,VB,VB,-1,,,,,
,1,大百科-VB09,VB09,VB09,-1,,,,,
,1,大百科-VB1,VB1,VB1,-1,,,,,
,1,大百科-VB10,VB10,VB10,-1,,,,,
,1,大百科-VB11,VB11,VB11,-1,,,,,
,1,大百科-VB12,VB12,VB12,-1,,,,,
,1,大百科-VB13,VB13,VB13,-1,,,,,
,1,大百科-VB14,VB14,VB14,-1,,,,,
,1,大百科-VB15,VB15,VB15,-1,,,,,
,1,大百科-VB16,VB16,VB16,-1,,,,,
,1,大百科-VB17,VB17,VB17,-1,,,,,
,1,大百科-VB18,VB18,VB18,-1,,,,,
,1,大百科-VB19,VB19,VB19,-1,,,,,
,1,大百科-VB20,VB20,VB20,-1,,,,,
,1,大百科-VB21,VB21,VB21,-1,,,,,
,1,大百科-VB22,VB22,VB22,-1,,,,,
,1,大百科-VB5,VB5,VB5,-1,,,,,
,1,大百科-VB6,VB6,VB6,-1,,,,,
,1,大百科-VB7,VB7,VB7,-1,,,,,
,1,大百科-VB8,VB8,VB8,-1,,,,,
,1,大百科-VX01,VX01,VX01,-1,,,,,
,1,大百科-VX02,VX02,VX02,-1,,,,,
,1,大百科-VX03,VX03,VX03,-1,,,,,
,1,攻略書-CMC,CMC,CMC,-1,,,,,
,1,攻略書-DI2,DI2,DI2,-1,,,,,
,1,攻略書-DT02,DT02,DT02,-1,,,,,
,1,攻略書-DT04,DT04,DT04,-1,,,,,
,1,攻略書-DT06,DT06,DT06,-1,,,,,
,1,攻略書-DT08,DT08,DT08,-1,,,,,
,1,攻略書-DT10,DT10,DT10,-1,,,,,
,1,攻略書-DT12,DT12,DT12,-1,,,,,
,1,攻略書-DT14,DT14,DT14,-1,,,,,
,1,攻略書-E06,E06,E06,-1,,,,,
,1,攻略書-EX3,EX3,EX3,-1,,,,,
,1,攻略書-G2,G2,G2,-1,,,,,
,1,攻略書-G3,G3,G3,-1,,,,,
,1,攻略書-G4,G4,G4,-1,,,,,
,1,攻略書-G5,G5,G5,-1,,,,,
,1,攻略書-G6,G6,G6,-1,,,,,
,1,攻略書-GB7,GB7,GB7,-1,,,,,
,1,攻略書-GB8,GB8,GB8,-1,,,,,
,1,攻略書-GBI,GBI,GBI,-1,,,,,
,1,攻略書-GX02,GX02,GX02,-1,,,,,
,1,攻略書-GX03,GX03,GX03,-1,,,,,
,1,攻略書-GX04,GX04,GX04,-1,,,,,
,1,攻略書-GX06,GX06,GX06,-1,,,,,
,1,攻略書-GX1,GX1,GX1,-1,,,,,
,1,攻略書-LDLE,LDLE,LDLE,-1,,,,,
,1,攻略書-LG01,LG01,LG01,-1,,,,,
,1,攻略書-LG02,LG02,LG02,-1,,,,,
,1,攻略書-NTR,NTR,NTR,-1,,,,,
,1,攻略書-OG01,OG01,OG01,-1,,,,,
,1,攻略書-OG02,OG02,OG02,-1,,,,,
,1,攻略書-OG03,OG03,OG03,-1,,,,,
,1,攻略書-PS,PS,PS,-1,,,,,
,1,攻略書-RB01,RB01,RB01,-1,,,,,
,1,攻略書-RB02,RB02,RB02,-1,,,,,
,1,攻略書-RB03,RB03,RB03,-1,,,,,
,1,攻略書-RB04,RB04,RB04,-1,,,,,
,1,攻略書-RB05,RB05,RB05,-1,,,,,
,1,攻略書-S2,S2,S2,-1,,,,,
,1,攻略書-SCB1,SCB1,SCB1,-1,,,,,
,1,攻略書-TF04,TF04,TF04,-1,,,,,
,1,攻略書-TF06,TF06,TF06,-1,,,,,
,1,攻略書-TFSP,TFSP,TFSP,-1,,,,,
,1,攻略書-TR,TR,TR,-1,,,,,
,1,攻略書-WB01,WB01,WB01,-1,,,,,
,1,攻略書-WC07,WC07,WC07,-1,,,,,
,1,攻略書-WC08,WC08,WC08,-1,,,,,
,1,攻略書-WC09,WC09,WC09,-1,,,,,
,1,攻略書-WC10,WC10,WC10,-1,,,,,
,1,攻略書-WC11,WC11,WC11,-1,,,,,
,1,攻略書-YDT1,YDT1,YDT1,-1,,,,,
,1,攻略書-ZDC1,ZDC1,ZDC1,-1,,,,,
,1,攻略書套牌闇遊戲＆海馬瀨人-LG01,LG01,LG01,-1,,,,,
,1,攻略書套牌闇遊戲＆海馬瀨人-LG02,LG02,LG02,-1,,,,,
,1,漫畫-JCY,JCY,JCY,-1,,,,,
,1,漫畫-YA01,YA01,YA01,-1,,,,,
,1,漫畫-YA02,YA02,YA02,-1,,,,,
,1,漫畫-YA03,YA03,YA03,-1,,,,,
,1,漫畫-YA04,YA04,YA04,-1,,,,,
,1,漫畫-YA05,YA05,YA05,-1,,,,,
,1,漫畫-YA06,YA06,YA06,-1,,,,,
,1,漫畫-YA07,YA07,YA07,-1,,,,,
,1,漫畫-YCB,YCB,YCB,-1,,,,,
